Player,Tm,PER,OWS,DWS
Cameron Payne,PHO,13.8,0.2,1.8
Elfrid Payton,PHO,7.9,-1,0.8
Gary Payton II,GSW,17.8,2.5,2.6
Norvel Pelle,UTA,12.2,0,0
Reggie Perry,TOT,15.6,0.1,0.2
Reggie Perry,POR,16.2,0,0.2
Reggie Perry,IND,4.2,0,0
Jamorko Pickett,DET,7.6,0,0.1
Theo Pinson,DAL,11.9,0.2,0.2
Mason Plumlee,CHO,14.7,2.7,2
Jakob Poeltl,SAS,20.8,4.4,2.5
Aleksej Pokusevski,OKC,12,-1.1,1.5
Yves Pons,MEM,5.9,0,0.1
Jordan Poole,GSW,16.1,3.1,2.9
Kevin Porter Jr.,HOU,13.5,0,0.8
Michael Porter Jr.,DEN,7.5,-0.5,0.3
Otto Porter Jr.,GSW,15.9,2.2,2.7
Bobby Portis,MIL,17.7,2.9,2.6
Kristaps Porziņģis,TOT,23.7,3.2,2.4
Kristaps Porziņģis,DAL,21.8,1.6,1.8
Kristaps Porziņģis,WAS,27.7,1.6,0.6
Micah Potter,DET,13.6,0,0
Dwight Powell,DAL,18.1,6,2.2
Myles Powell,PHI,0.2,-0.2,0
Norman Powell,TOT,16.3,2.4,0.4
Norman Powell,POR,15.3,1.8,0.3
Norman Powell,LAC,27.1,0.6,0.1
Joshua Primo,SAS,7.1,-0.6,0.6
Taurean Prince,MIN,12.4,1,1.2
Payton Pritchard,BOS,15,1.8,1.2
Trevelin Queen,HOU,18.2,0.1,0.1
Neemias Queta,SAC,12.7,0,0.1
Immanuel Quickley,NYK,14.6,2.5,1.8
Jahmi'us Ramsey,SAC,7.9,-0.1,0
Julius Randle,NYK,15.7,-0.3,3.4
Austin Reaves,LAL,11.5,2.1,0.8
Cam Reddish,TOT,12.8,0.2,0.8
Cam Reddish,ATL,12.8,0.1,0.5
Cam Reddish,NYK,12.9,0.1,0.3
Davon Reed,DEN,12.2,0.9,0.7
Paul Reed,PHI,21.4,0.6,0.7
Naz Reid,MIN,17.2,1.5,1.6
Nick Richards,CHO,15.9,0.6,0.3
Josh Richardson,TOT,12.8,1.6,2
Josh Richardson,BOS,12.2,1,1.5
Josh Richardson,SAS,14,0.5,0.4
Austin Rivers,DEN,7.2,0.1,1.1
Duncan Robinson,MIA,10.6,1.9,2
Justin Robinson,TOT,3.6,-0.5,0.2
Justin Robinson,MIL,4.3,-0.3,0.1
Justin Robinson,SAC,-13.5,-0.1,0
Justin Robinson,DET,4.9,-0.1,0
Mitchell Robinson,NYK,20.7,5.3,3.2
Jeremiah Robinson-Earl,OKC,11.7,0.4,1
Isaiah Roby,OKC,18.3,1.8,1.1
Rajon Rondo,TOT,10.9,-0.1,0.8
Rajon Rondo,LAL,6.5,-0.6,0.3
Rajon Rondo,CLE,13.9,0.5,0.5
Derrick Rose,NYK,16.9,0.8,0.7
Terrence Ross,ORL,10,-0.5,0.9
Terry Rozier,CHO,17.6,4.3,1.6
Ricky Rubio,CLE,14,-0.1,1.4
D'Angelo Russell,MIN,16.3,2.9,1.5
Matt Ryan,BOS,3.5,0,0
Domantas Sabonis,TOT,21.9,5.3,1.8
Domantas Sabonis,IND,22.2,4.4,1.3
Domantas Sabonis,SAC,21,0.9,0.5
Olivier Sarr,OKC,14,0.7,0.3
Tomáš Satoranský,TOT,10.2,0.5,0.6
Tomáš Satoranský,NOP,6.5,-0.3,0.3
Tomáš Satoranský,SAS,12.8,0,0
Tomáš Satoranský,WAS,14.4,0.7,0.3
Jordan Schakel,WAS,-1.2,-0.2,0
Admiral Schofield,ORL,7.5,-0.1,0.3
Dennis Schröder,TOT,13,1,1.9
Dennis Schröder,BOS,13.5,1,1.8
Dennis Schröder,HOU,11.5,0.1,0.1
Tre Scott,CLE,20.4,0,0
Jay Scrubb,LAC,9.3,-0.1,0.1
Wayne Selden,NYK,4.3,0,0
Alperen Şengün,HOU,16,0.8,1.3
Collin Sexton,CLE,11.2,-0.4,0.3
Landry Shamet,PHO,10.2,1.1,1.5
Day'Ron Sharpe,BRK,20.7,0.8,0.5
Pascal Siakam,TOR,20.3,4.9,3.2
Chris Silva,TOT,11.6,0.1,0.1
Chris Silva,MIN,3.8,0,0
Chris Silva,MIA,11.9,0.1,0.1
Marko Simonovic,CHI,10.2,0,0
Anfernee Simons,POR,15.3,2,-0.1
Zavier Simpson,OKC,7.7,-0.2,0.1
Jericho Sims,NYK,11.6,0.7,0.8
Deividas Sirvydis,DET,0.1,-0.1,0.1
Javonte Smart,TOT,5.1,-0.3,0.2
Javonte Smart,MIL,2.5,-0.4,0.1
Javonte Smart,MIA,15.6,0,0.1
Marcus Smart,BOS,13.6,1.9,3.7
Dennis Smith Jr.,POR,13.2,-0.1,0.5
Ish Smith,TOT,12.5,-0.3,0.9
Ish Smith,CHO,9.6,-0.5,0.3
Ish Smith,WAS,15,0.1,0.5
Jalen Smith,TOT,18.4,1.7,1.1
Jalen Smith,PHO,15.9,0.4,0.7
Jalen Smith,IND,20.2,1.3,0.4
Xavier Sneed,TOT,0.4,-0.1,0
Xavier Sneed,MEM,-7.1,0,0
Xavier Sneed,UTA,2.4,0,0
Tony Snell,TOT,6.3,0.2,0.2
Tony Snell,POR,5.2,0,0.1
Tony Snell,NOP,8.6,0.2,0.2
Jaden Springer,PHI,26.4,0,0
Cassius Stanley,DET,8,0,0.1
Nik Stauskas,TOT,10.5,0,0
Nik Stauskas,MIA,13.1,0.1,0
Nik Stauskas,BOS,6.2,0,0
Lance Stephenson,TOT,13.6,0.4,0.4
Lance Stephenson,ATL,4.5,-0.1,0
Lance Stephenson,IND,14.5,0.5,0.3
Lamar Stevens,CLE,11.3,0.4,1.2
Isaiah Stewart,DET,14,1.6,1.8
Max Strus,MIA,12.7,2,1.7
Jalen Suggs,ORL,8.6,-3,1.3
Craig Sword,WAS,14.2,0,0
Keifer Sykes,IND,5.9,-0.5,0.1
Jae'Sean Tate,HOU,14.3,1.9,1.1
Jayson Tatum,BOS,21.8,5,4.6
Terry Taylor,IND,19,2.2,0.2
Garrett Temple,NOP,8.6,-0.1,1
Emanuel Terry,PHO,-0.1,-0.1,0
Tyrell Terry,MEM,20,0,0
Jon Teske,MEM,1.5,0,0
Daniel Theis,TOT,13.2,0.9,1
Daniel Theis,HOU,10.7,0.1,0.3
Daniel Theis,BOS,17,0.9,0.7
Brodric Thomas,BOS,10,0,0.1
Cam Thomas,BRK,11.7,0,0.8
Isaiah Thomas,TOT,12,0,0.1
Isaiah Thomas,LAL,3.2,-0.2,0
Isaiah Thomas,DAL,12.6,0,0
Isaiah Thomas,CHO,16,0.2,0.1
Matt Thomas,CHI,9.9,0.3,0.2
Klay Thompson,GSW,16.7,0.6,1.2
Tristan Thompson,TOT,14.9,0.9,0.8
Tristan Thompson,SAC,15.1,0.3,0.4
Tristan Thompson,IND,12.5,0,0
Tristan Thompson,CHI,15,0.6,0.4
JT Thor,CHO,9.7,0.1,0.2
Matisse Thybulle,PHI,11.2,1.2,2.5
Killian Tillie,MEM,7.6,-0.1,0.6
Xavier Tillman Sr.,MEM,15.1,0.6,1.2
Isaiah Todd,WAS,4.7,-0.2,0.1
Obi Toppin,NYK,18.3,2.5,1.5
Juan Toscano-Anderson,GSW,11,0.3,1.8
Karl-Anthony Towns,MIN,24.1,7.1,3.2
Gary Trent Jr.,TOR,14.7,3.1,2.5
P.J. Tucker,MIA,11.3,2.4,2.6
Rayjon Tucker,TOT,17.7,0.3,0.1
Rayjon Tucker,DEN,13.6,0.1,0
Rayjon Tucker,MIL,20.5,0.2,0
Myles Turner,IND,17.4,1.7,1.4
Jonas Valančiūnas,NOP,21.2,4.6,2.7
Denzel Valentine,TOT,8.1,-0.1,0.3
Denzel Valentine,CLE,8.4,-0.1,0.2
Denzel Valentine,UTA,4.2,0,0
Jarred Vanderbilt,MIN,15.3,3.1,2.9
Fred VanVleet,TOR,17.3,3.9,2.8
Devin Vassell,SAS,13.3,1.3,2
Gabe Vincent,MIA,10.6,0.7,1.9
Nikola Vučević,CHI,18.2,1.4,3.2
Dean Wade,CLE,10.1,1.1,1.1
Franz Wagner,ORL,14.7,2.1,1.9
Moritz Wagner,ORL,18.1,1.8,1
Ish Wainright,PHO,9.4,0,0.6
Kemba Walker,NYK,13.9,1,0.9
Lonnie Walker IV,SAS,12.3,0.1,1.1
M.J. Walker,PHO,-3.3,-0.1,0
Tyrone Wallace,NOP,2.5,-0.2,0.1
Derrick Walton,DET,5.9,-0.3,0.1
Brad Wanamaker,TOT,7.5,-0.1,0.1
Brad Wanamaker,IND,6.5,-0.2,0.1
Brad Wanamaker,WAS,18.1,0.1,0
Duane Washington Jr.,IND,10.2,-0.2,0.2
P.J. Washington,CHO,13.6,1.8,1.6
Yuta Watanabe,TOR,11.5,0.1,0.6
Lindy Waters III,OKC,13,0.3,0.5
Tremont Waters,TOT,5.4,-0.1,0.1
Tremont Waters,TOR,5.1,-0.1,0.1
Tremont Waters,WAS,7.3,0,0
Trendon Watford,POR,15.8,1.4,0.5
Paul Watson,OKC,5.7,-0.1,0.1
Quinndary Weatherspoon,GSW,12,0.1,0.1
Russell Westbrook,LAL,15,-0.6,2.3
Coby White,CHI,12.6,1.6,0.8
Derrick White,TOT,14.8,2.8,2.3
Derrick White,SAS,15.7,2,1.3
Derrick White,BOS,12.9,0.9,0.9
Hassan Whiteside,UTA,22.9,3.4,2.3
Joe Wieskamp,SAS,7.1,0.1,0.1
Aaron Wiggins,OKC,10.3,0.5,0.8
Andrew Wiggins,GSW,15,1.8,3.4
Lindell Wigginton,MIL,10.2,0,0.1
Brandon Williams,POR,11,-0.7,0.2
Grant Williams,BOS,11.2,2.4,2.6
Kenrich Williams,OKC,13.3,0.8,1
Lou Williams,ATL,12.1,0.2,0.4
Patrick Williams,CHI,12.7,0.6,0.3
Robert Williams,BOS,22.1,6,3.9
Ziaire Williams,MEM,9.7,1.1,1.1
D.J. Wilson,TOR,27.9,0.2,0.1
Dylan Windler,CLE,8.8,0.2,0.6
Justise Winslow,TOT,13.1,-0.3,1.1
Justise Winslow,LAC,12.4,-0.3,0.9
Justise Winslow,POR,14.1,0,0.2
Cassius Winston,WAS,6,0,0
Christian Wood,HOU,19.1,2.9,2
Robert Woodard II,SAC,2.1,-0.2,0
Delon Wright,ATL,13.8,2.2,1.5
McKinley Wright IV,MIN,9.5,0,0
Moses Wright,TOT,18.3,0,0
Moses Wright,LAC,31.2,0,0
Moses Wright,DAL,17.3,0,0
Gabe York,IND,12.7,0,0
Thaddeus Young,TOT,17,0.9,1.3
Thaddeus Young,SAS,18.6,0.5,0.5
Thaddeus Young,TOR,15.8,0.5,0.8
Trae Young,ATL,25.4,9,1
Omer Yurtseven,MIA,17.4,0.8,1.4
Cody Zeller,POR,17.2,0.9,0.2
Ivica Zubac,LAC,19.2,4.3,2.9
